Multiplication table for 2:
2 * 1 = 2
2 * 2 = 4
2 * 3 = 6
2 * 4 = 8
2 * 5 = 10
2 * 6 = 12
2 * 7 = 14
2 * 8 = 16
2 * 9 = 18
2 * 10 = 20
2 * 11 = 22
2 * 12 = 24
2 * 13 = 26
2 * 14 = 28
2 * 15 = 30
2 * 16 = 32
2 * 17 = 34
2 * 18 = 36
2 * 19 = 38
2 * 20 = 40
2 * 21 = 42
2 * 22 = 44
2 * 23 = 46
2 * 24 = 48
2 * 25 = 50
2 * 26 = 52
2 * 27 = 54
2 * 28 = 56
2 * 29 = 58
2 * 30 = 60
2 * 31 = 62
2 * 32 = 64
2 * 33 = 66
2 * 34 = 68
2 * 35 = 70
2 * 36 = 72
2 * 37 = 74
2 * 38 = 76
2 * 39 = 78
2 * 40 = 80
2 * 41 = 82
2 * 42 = 84
2 * 43 = 86
2 * 44 = 88
2 * 45 = 90
2 * 46 = 92
2 * 47 = 94
2 * 48 = 96
2 * 49 = 98
2 * 50 = 100

Multiplication table for 3:
3 * 1 = 3
3 * 2 = 6
3 * 3 = 9
3 * 4 = 12
3 * 5 = 15
3 * 6 = 18
3 * 7 = 21
3 * 8 = 24
3 * 9 = 27
3 * 10 = 30
3 * 11 = 33
3 * 12 = 36
3 * 13 = 39
3 * 14 = 42
3 * 15 = 45
3 * 16 = 48
3 * 17 = 51
3 * 18 = 54
3 * 19 = 57
3 * 20 = 60
3 * 21 = 63
3 * 22 = 66
3 * 23 = 69
3 * 24 = 72
3 * 25 = 75
3 * 26 = 78
3 * 27 = 81
3 * 28 = 84
3 * 29 = 87
3 * 30 = 90
3 * 31 = 93
3 * 32 = 96
3 * 33 = 99
3 * 34 = 102
3 * 35 = 105
3 * 36 = 108
3 * 37 = 111
3 * 38 = 114
3 * 39 = 117
3 * 40 = 120
3 * 41 = 123
3 * 42 = 126
3 * 43 = 129
3 * 44 = 132
3 * 45 = 135
3 * 46 = 138
3 * 47 = 141
3 * 48 = 144
3 * 49 = 147
3 * 50 = 150

Multiplication table for 5:
5 * 1 = 5
5 * 2 = 10
5 * 3 = 15
5 * 4 = 20
5 * 5 = 25
5 * 6 = 30
5 * 7 = 35
5 * 8 = 40
5 * 9 = 45
5 * 10 = 50
5 * 11 = 55
5 * 12 = 60
5 * 13 = 65
5 * 14 = 70
5 * 15 = 75
5 * 16 = 80
5 * 17 = 85
5 * 18 = 90
5 * 19 = 95
5 * 20 = 100
5 * 21 = 105
5 * 22 = 110
5 * 23 = 115
5 * 24 = 120
5 * 25 = 125
5 * 26 = 130
5 * 27 = 135
5 * 28 = 140
5 * 29 = 145
5 * 30 = 150
5 * 31 = 155
5 * 32 = 160
5 * 33 = 165
5 * 34 = 170
5 * 35 = 175
5 * 36 = 180
5 * 37 = 185
5 * 38 = 190
5 * 39 = 195
5 * 40 = 200
5 * 41 = 205
5 * 42 = 210
5 * 43 = 215
5 * 44 = 220
5 * 45 = 225
5 * 46 = 230
5 * 47 = 235
5 * 48 = 240
5 * 49 = 245
5 * 50 = 250

Multiplication table for 7:
7 * 1 = 7
7 * 2 = 14
7 * 3 = 21
7 * 4 = 28
7 * 5 = 35
7 * 6 = 42
7 * 7 = 49
7 * 8 = 56
7 * 9 = 63
7 * 10 = 70
7 * 11 = 77
7 * 12 = 84
7 * 13 = 91
7 * 14 = 98
7 * 15 = 105
7 * 16 = 112
7 * 17 = 119
7 * 18 = 126
7 * 19 = 133
7 * 20 = 140
7 * 21 = 147
7 * 22 = 154
7 * 23 = 161
7 * 24 = 168
7 * 25 = 175
7 * 26 = 182
7 * 27 = 189
7 * 28 = 196
7 * 29 = 203
7 * 30 = 210
7 * 31 = 217
7 * 32 = 224
7 * 33 = 231
7 * 34 = 238
7 * 35 = 245
7 * 36 = 252
7 * 37 = 259
7 * 38 = 266
7 * 39 = 273
7 * 40 = 280
7 * 41 = 287
7 * 42 = 294
7 * 43 = 301
7 * 44 = 308
7 * 45 = 315
7 * 46 = 322
7 * 47 = 329
7 * 48 = 336
7 * 49 = 343
7 * 50 = 350

Multiplication table for 11:
11 * 1 = 11
11 * 2 = 22
11 * 3 = 33
11 * 4 = 44
11 * 5 = 55
11 * 6 = 66
11 * 7 = 77
11 * 8 = 88
11 * 9 = 99
11 * 10 = 110
11 * 11 = 121
11 * 12 = 132
11 * 13 = 143
11 * 14 = 154
11 * 15 = 165
11 * 16 = 176
11 * 17 = 187
11 * 18 = 198
11 * 19 = 209
11 * 20 = 220
11 * 21 = 231
11 * 22 = 242
11 * 23 = 253
11 * 24 = 264
11 * 25 = 275
11 * 26 = 286
11 * 27 = 297
11 * 28 = 308
11 * 29 = 319
11 * 30 = 330
11 * 31 = 341
11 * 32 = 352
11 * 33 = 363
11 * 34 = 374
11 * 35 = 385
11 * 36 = 396
11 * 37 = 407
11 * 38 = 418
11 * 39 = 429
11 * 40 = 440
11 * 41 = 451
11 * 42 = 462
11 * 43 = 473
11 * 44 = 484
11 * 45 = 495
11 * 46 = 506
11 * 47 = 517
11 * 48 = 528
11 * 49 = 539
11 * 50 = 550

Multiplication table for 13:
13 * 1 = 13
13 * 2 = 26
13 * 3 = 39
13 * 4 = 52
13 * 5 = 65
13 * 6 = 78
13 * 7 = 91
13 * 8 = 104
13 * 9 = 117
13 * 10 = 130
13 * 11 = 143
13 * 12 = 156
13 * 13 = 169
13 * 14 = 182
13 * 15 = 195
13 * 16 = 208
13 * 17 = 221
13 * 18 = 234
13 * 19 = 247
13 * 20 = 260
13 * 21 = 273
13 * 22 = 286
13 * 23 = 299
13 * 24 = 312
13 * 25 = 325
13 * 26 = 338
13 * 27 = 351
13 * 28 = 364
13 * 29 = 377
13 * 30 = 390
13 * 31 = 403
13 * 32 = 416
13 * 33 = 429
13 * 34 = 442
13 * 35 = 455
13 * 36 = 468
13 * 37 = 481
13 * 38 = 494
13 * 39 = 507
13 * 40 = 520
13 * 41 = 533
13 * 42 = 546
13 * 43 = 559
13 * 44 = 572
13 * 45 = 585
13 * 46 = 598
13 * 47 = 611
13 * 48 = 624
13 * 49 = 637
13 * 50 = 650
